n_sites,deployment_days_per_site,replicate,method,split,covs_rmse,psi_rmse,z_acc,time
100,28,1,spOcc,train,0.4169145905675266,0.46019112483938845,0.675,0.4969780179671943
100,28,1,spOcc,test,0.4169145905675266,0.4205398009037543,0.75,0.4969780179671943
100,28,1,Unmarked,train,1.0032916542513497,0.48751960313399023,0.65,0.04368276009336114
100,28,1,Unmarked,test,1.0032916542513497,0.39679331286584374,0.75,0.04368276009336114
100,28,1,NumPyro,train,0.35526823764842136,0.45813087,0.675,9.895572035107762
100,28,1,NumPyro,test,0.35526823764842136,0.41339886,0.75,9.895572035107762
100,28,2,spOcc,train,0.48654731196902645,0.45436498641381134,0.675,0.2625856469385326
100,28,2,spOcc,test,0.48654731196902645,0.4609784915728159,0.6,0.2625856469385326
100,28,2,Unmarked,train,0.437661725675903,0.45839333277723443,0.675,0.03980991896241903
100,28,2,Unmarked,test,0.437661725675903,0.46270713512553624,0.7,0.03980991896241903
100,28,2,NumPyro,train,0.4919489179784918,0.45861056,0.6625,10.218941838946193
100,28,2,NumPyro,test,0.4919489179784918,0.46091545,0.65000004,10.218941838946193
100,28,3,spOcc,train,0.5987526887107498,0.3093321306668353,0.8875,0.2600923669524491
100,28,3,spOcc,test,0.5987526887107498,0.4398125608847508,0.65,0.2600923669524491
100,28,3,Unmarked,train,0.5730801379992438,0.29819888769693687,0.875,0.03906626906245947
100,28,3,Unmarked,test,0.5730801379992438,0.47987883685241184,0.65,0.03906626906245947
100,28,3,NumPyro,train,0.6288535219162422,0.30992424,0.8875,9.860266534145921
100,28,3,NumPyro,test,0.6288535219162422,0.44358355,0.65000004,9.860266534145921
100,28,4,spOcc,train,0.4700348836230438,0.39695128601159474,0.75,0.25232965499162674
100,28,4,spOcc,test,0.4700348836230438,0.4660206184596405,0.75,0.25232965499162674
100,28,4,Unmarked,train,0.4975203669550284,0.39606668346855733,0.75,0.04278809018433094
100,28,4,Unmarked,test,0.4975203669550284,0.4678995149926509,0.75,0.04278809018433094
100,28,4,NumPyro,train,0.47019970598117145,0.39733168,0.75,9.885952562093735
100,28,4,NumPyro,test,0.47019970598117145,0.4665237,0.75,9.885952562093735
100,28,5,spOcc,train,0.23752215427662304,0.4345561687725679,0.7125,0.25206633610650897
100,28,5,spOcc,test,0.23752215427662304,0.3686937182219601,0.8,0.25206633610650897
100,28,5,Unmarked,train,0.2524579606869812,0.43394243517671144,0.7125,0.04264716897159815
100,28,5,Unmarked,test,0.2524579606869812,0.36226188122045605,0.8,0.04264716897159815
100,28,5,NumPyro,train,0.24424209707424277,0.43459222,0.71250004,9.556391650810838
100,28,5,NumPyro,test,0.24424209707424277,0.36634976,0.8,9.556391650810838
100,28,6,spOcc,train,0.42640973746415256,0.32073913503925494,0.8625,0.2572636278346181
100,28,6,spOcc,test,0.42640973746415256,0.3547117165847468,0.85,0.2572636278346181
100,28,6,Unmarked,train,0.34971874994949875,0.31688704979893584,0.8625,0.03680058801546693
100,28,6,Unmarked,test,0.34971874994949875,0.3439937721744509,0.85,0.03680058801546693
